alpha,p,x_bar,x2_sided_lower,x2_sided_upper,assay,xponent_id
0.05,0.99,118.015625,75.51756124514486,160.51368875485514,MUC-16,Standard6
0.05,0.99,100.5234375,68.66268002127732,132.3841949787227,OPN,Standard6
0.05,0.99,185.24305555555554,129.2411009359649,241.24501017514618,CEA,Standard6
0.05,0.99,156.02777777777777,78.05756094555443,233.99799461000111,IL-6Ra,Standard6
0.05,0.99,299.88194444444446,219.5302631120212,380.2336257768677,MIF,Standard6
0.05,0.99,191.95833333333334,139.73148764512456,244.18517902154213,THBS2,Standard6
0.05,0.99,179.39583333333334,127.16703412778006,231.62463253888663,TNC,Standard6
0.05,0.99,123.74305555555556,71.55591317209664,175.93019793901448,WFDC2,Standard6
0.05,0.99,283.25,176.81707269945014,389.68292730054986,cMET,Standard6
0.05,0.99,137.59722222222223,75.60672397332658,199.58772047111788,uPAR,Standard6
