alpha,p,x_bar,x2_sided_lower,x2_sided_upper,assay,xponent_id
0.05,0.99,90.47655639659439,34.42026988469253,146.53284290849626,AFP,Standard1
0.05,0.99,65.32443842027048,-16.064344411109587,146.71322125165057,CA15-3,Standard1
0.05,0.99,75.40611920532916,67.38090882114778,83.43132958951054,CCL20,Standard1
0.05,0.99,94.936110804114,55.43588474931102,134.43633685891697,EGF,Standard1
0.05,0.99,92.4841812544212,28.322466128579222,156.6458963802632,FLT3L,Standard1
0.05,0.99,96.46363831196142,61.1465951650187,131.78068145890413,HGF,Standard1
0.05,0.99,97.32509662104198,69.2892265626611,125.36096667942286,IL-1 R2,Standard1
0.05,0.99,96.90460763443949,65.56139231586995,128.247822953009,IL-6,Standard1
0.05,0.99,93.79136327352326,50.277653439503936,137.30507310754257,IL-8,Standard1
0.05,0.99,94.44838246018664,55.301468984578584,133.5952959357947,KLK3,Standard1
0.05,0.99,86.64846709849553,73.45686470041214,99.84006949657892,MUC-16,Standard1
0.05,0.99,95.0328175073671,54.86317243832117,135.20246257641304,OPN,Standard1
0.05,0.99,93.54572958705452,79.23666589549673,107.85479327861232,CEA,Standard1
0.05,0.99,93.43388447698791,52.13474133291398,134.73302762106184,IL-6Ra,Standard1
0.05,0.99,97.45319226577142,74.17752924616278,120.72885528538006,MIF,Standard1
0.05,0.99,94.60442184594044,76.45910959394206,112.74973409793881,THBS2,Standard1
0.05,0.99,65.69226228620963,59.11564540269347,72.26887916972579,TNC,Standard1
0.05,0.99,93.67805704536721,49.7462593392693,137.60985475146512,WFDC2,Standard1
0.05,0.99,95.85873602173807,59.98451814715054,131.7329538963256,cMET,Standard1
0.05,0.99,92.36652837630066,81.78472093777879,102.94833581482254,uPAR,Standard1
0.05,0.99,105.21839848721613,74.43211257054355,136.00468440388872,AFP,Standard2
0.05,0.99,112.06460940062732,62.0471828110765,162.08203599017813,CA15-3,Standard2
0.05,0.99,115.5323921158905,29.306721700947648,201.75806253083334,CCL20,Standard2
0.05,0.99,104.23534826012384,81.74735361372993,126.72334290651776,EGF,Standard2
0.05,0.99,93.40427010476702,20.453845796616562,166.35469441291747,FLT3L,Standard2
0.05,0.99,100.36251598966722,66.13751359448787,134.58751838484656,HGF,Standard2
0.05,0.99,102.3752201330775,81.6936678041256,123.05677246202941,IL-1 R2,Standard2
0.05,0.99,102.29000367298282,74.9675957873468,129.61241155861885,IL-6,Standard2
0.05,0.99,101.73350951669201,49.24187337217274,154.2251456612113,IL-8,Standard2
0.05,0.99,101.10257307551056,44.44292553777558,157.76222061324555,KLK3,Standard2
0.05,0.99,108.58805761490493,91.44326370732705,125.7328515224828,MUC-16,Standard2
0.05,0.99,102.37607850758285,71.05746179246047,133.69469522270523,OPN,Standard2
0.05,0.99,105.67014737802438,86.8929537454579,124.44734101059086,CEA,Standard2
0.05,0.99,99.62018227264636,44.69423360127442,154.5461309440183,IL-6Ra,Standard2
0.05,0.99,107.06256043970677,92.37351962354022,121.75160125587333,MIF,Standard2
0.05,0.99,105.41014524584502,84.3447948919829,126.47549559970713,THBS2,Standard2
0.05,0.99,116.67758007646664,83.25146761043698,150.1036925424963,TNC,Standard2
0.05,0.99,104.2867990375966,88.27591064245428,120.29768743273891,WFDC2,Standard2
0.05,0.99,102.57791787825937,75.58703541653271,129.568800339986,cMET,Standard2
0.05,0.99,107.34078521813473,90.06739564186717,124.61417479440229,uPAR,Standard2
0.05,0.99,100.16825613854738,73.30109978777018,127.03541248932457,AFP,Standard3
0.05,0.99,103.39364218760939,81.23966118346297,125.5476231917558,CA15-3,Standard3
0.05,0.99,85.59388379852994,34.5825458465422,136.60522175051767,CCL20,Standard3
0.05,0.99,98.82592221325585,75.09605062576045,122.55579380075125,EGF,Standard3
0.05,0.99,89.89412188698064,43.05633276383145,136.73191101012983,FLT3L,Standard3
0.05,0.99,101.86995161458788,82.90546106541927,120.83444216375648,HGF,Standard3
0.05,0.99,98.98852614901661,72.07978139559606,125.89727090243716,IL-1 R2,Standard3
0.05,0.99,98.80490407180771,74.830245496025,122.77956264759042,IL-6,Standard3
0.05,0.99,96.17808934797029,55.49314796099632,136.86303073494426,IL-8,Standard3
0.05,0.99,93.09691499945176,47.81941072745173,138.37441927145179,KLK3,Standard3
0.05,0.99,106.66980567345597,81.78230167400301,131.55730967290893,MUC-16,Standard3
0.05,0.99,101.25366328861024,71.45466334853512,131.05266322868536,OPN,Standard3
0.05,0.99,101.31057808144378,80.40593309735877,122.21522306552879,CEA,Standard3
0.05,0.99,98.92821711999171,40.47306156848611,157.3833726714973,IL-6Ra,Standard3
0.05,0.99,96.55568433889766,81.9128542048419,111.19851447295342,MIF,Standard3
0.05,0.99,98.85953740673365,76.92337994488727,120.79569486858003,THBS2,Standard3
0.05,0.99,107.57449829883386,41.438140949948036,173.71085564771968,TNC,Standard3
0.05,0.99,102.1589728684616,86.20176865100632,118.11617708591689,WFDC2,Standard3
0.05,0.99,98.5017591713756,68.74908141265205,128.25443693009913,cMET,Standard3
0.05,0.99,99.961288081826,72.94853223936481,126.97404392428719,uPAR,Standard3
0.05,0.99,95.23275240941678,69.27754968392733,121.18795513490622,AFP,Standard4
0.05,0.99,91.70474641862347,73.53479130381258,109.87470153343436,CA15-3,Standard4
0.05,0.99,88.19908215391227,50.10342435023007,126.29473995759447,CCL20,Standard4
0.05,0.99,96.31431257469393,72.68264446293784,119.94598068645001,EGF,Standard4
0.05,0.99,103.68668220292943,34.437931547681174,172.9354328581777,FLT3L,Standard4
