assay,panel,alpha,p,x_bar,x2_sided_lower,x2_sided_upper,xponent_id
CEA,2,0.05,0.99,17909.04861111111,14512.203891763775,21305.893330458443,Standard2
CEA,2,0.05,0.99,3992.715277777778,3147.290547857127,4838.140007698429,Standard3
CEA,2,0.05,0.99,1025.1875,781.3341628288853,1269.0408371711146,Standard4
CEA,2,0.05,0.99,345.3263888888889,257.0792806360724,433.57349714170545,Standard5
CEA,2,0.05,0.99,185.24305555555554,129.2411009359649,241.24501017514618,Standard6
IL-6Ra,2,0.05,0.99,42786.471830985916,36118.924888734786,49454.01877323705,Standard1
IL-6Ra,2,0.05,0.99,19475.61267605634,11417.075026541539,27534.150325571136,Standard2
IL-6Ra,2,0.05,0.99,6079.87323943662,2781.684035757585,9378.062443115654,Standard3
IL-6Ra,2,0.05,0.99,1581.2112676056338,816.6564476982119,2345.766087513056,Standard4
IL-6Ra,2,0.05,0.99,417.0625,239.97003394364415,594.1549660563559,Standard5
IL-6Ra,2,0.05,0.99,156.02777777777777,78.05756094555443,233.99799461000111,Standard6
MIF,2,0.05,0.99,47918.319444444445,43244.51350277208,52592.12538611681,Standard1
MIF,2,0.05,0.99,17786.222222222223,15382.457381587566,20189.98706285688,Standard2
MIF,2,0.05,0.99,3945.4166666666665,3352.3172510460163,4538.516082287317,Standard3
MIF,2,0.05,0.99,910.5138888888889,712.3207467090693,1108.7070310687086,Standard4
MIF,2,0.05,0.99,397.9583333333333,321.8508095115064,474.06585715516024,Standard5
MIF,2,0.05,0.99,299.88194444444446,219.5302631120212,380.2336257768677,Standard6
THBS2,2,0.05,0.99,61941.916666666664,50225.3565489458,73658.47678438753,Standard1
THBS2,2,0.05,0.99,17652.056338028167,14342.095375036377,20962.017301019958,Standard2
THBS2,2,0.05,0.99,4300.4375,3386.589111223332,5214.285888776668,Standard3
THBS2,2,0.05,0.99,1128.9722222222222,793.3590033029047,1464.5854411415396,Standard4
THBS2,2,0.05,0.99,370.2916666666667,251.80173836448373,488.7815949688496,Standard5
THBS2,2,0.05,0.99,191.95833333333334,139.73148764512456,244.18517902154213,Standard6
TNC,2,0.05,0.99,42269.118055555555,37414.778066466315,47123.458044644794,Standard1
TNC,2,0.05,0.99,16721.402777777777,11288.998723326244,22153.80683222931,Standard2
TNC,2,0.05,0.99,3278.7083333333335,1123.8163738679923,5433.600292798675,Standard3
TNC,2,0.05,0.99,704.2916666666666,375.2690419860596,1033.3142913472736,Standard4
TNC,2,0.05,0.99,265.09027777777777,192.27048716317523,337.9100683923803,Standard5
TNC,2,0.05,0.99,179.39583333333334,127.16703412778006,231.62463253888663,Standard6
WFDC2,2,0.05,0.99,72477.99305555556,64106.211107623574,80849.77500348755,Standard1
WFDC2,2,0.05,0.99,41334.020833333336,37116.443535768594,45551.59813089808,Standard2
WFDC2,2,0.05,0.99,11114.138888888889,9092.440265643276,13135.837512134502,Standard3
WFDC2,2,0.05,0.99,1693.9642857142858,1246.675011111306,2141.2535603172655,Standard4
WFDC2,2,0.05,0.99,320.1458333333333,230.99752039835658,409.29414626831004,Standard5
WFDC2,2,0.05,0.99,123.5,71.24978107073362,175.7502189292664,Standard6
cMET,2,0.05,0.99,57256.895833333336,51331.4248582053,63182.366808461375,Standard1
cMET,2,0.05,0.99,32012,26847.70158333143,37176.29841666857,Standard2
cMET,2,0.05,0.99,10970.020833333334,8136.666766863844,13803.374899802824,Standard3
cMET,2,0.05,0.99,3162.6666666666665,2381.088882433086,3944.244450900247,Standard4
cMET,2,0.05,0.99,867.9718309859155,621.5155506878499,1114.4281112839813,Standard5
cMET,2,0.05,0.99,280.6857142857143,183.54644472877732,377.8249838426513,Standard6
uPAR,2,0.05,0.99,70812.09722222222,62044.00350439741,79580.19094004703,Standard1
uPAR,2,0.05,0.99,18675.04861111111,15450.062423347452,21900.034798874767,Standard2
uPAR,2,0.05,0.99,3970.3958333333335,2850.986476648526,5089.805190018141,Standard3
uPAR,2,0.05,0.99,982.9507042253521,692.4669729277884,1273.4344355229157,Standard4
uPAR,2,0.05,0.99,300.2013888888889,206.45234893213137,393.95042884564646,Standard5
uPAR,2,0.05,0.99,137.59722222222223,75.60672397332658,199.58772047111788,Standard6
