...1,xponent_id,sample_type,well_id,well_row,well_column,assay,dilution_factor,conc_units,standard_expected_concentration,bead_count,median_mfi,avg_median_mfi,pct_cv_median_mfi,net_mfi,avg_net_mfi,calc_conc,avg_conc,conc_pct_cv,pct_recovery,Control1_control_expected_concentration,Control2_control_expected_concentration,Control1_control_range_low,Control2_control_range_low,Control1_control_range_high,Control2_control_range_high,calc_conc_truncated,avg_conc_truncated,calc_conc_standards_min,calc_conc_standards_max,calc_conc_min_truncated,calc_conc_max_truncated,avg_conc_standards_min,avg_conc_standards_max,avg_conc_min_truncated,avg_conc_max_truncated,conc_pct_cv_truncated,kit_lot,instrument_serial,computer_name,run_date,file_name,xponent_comments,FN_comments,panel
4204,Standard1,standard,A17,A,17,FLT3LG,NA,pg/mL,5420,57,91173,90050,2.2687434483936624,91121.0833333333,89998.0833333333,5818.72483710555,5774.87873637517,16.7589732058797,107.36,NA,NA,NA,NA,NA,NA,5818.72483710555,5774.87873637517,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4205,Standard1,standard,A18,A,18,FLT3LG,NA,pg/mL,5420,53,90250,90050,2.2687434483936624,90198.0833333333,89998.0833333333,5494.04959101629,5774.87873637517,16.7589732058797,101.37,NA,NA,NA,NA,NA,NA,5494.04959101629,5774.87873637517,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4212,Standard1,standard,A1,A,1,IL1R2,NA,pg/mL,28890,40,30395,31688.666666666668,2.750015748556098,30336.6666666667,31630.3333333333,25719.2882703983,29018.2543536449,8.07831892783541,89.02,NA,NA,NA,NA,NA,NA,25719.2882703983,29018.2543536449,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1
4213,Standard1,standard,A2,A,2,IL1R2,NA,pg/mL,28890,39,31168,31688.666666666668,2.750015748556098,31109.6666666667,31630.3333333333,27564.0601062928,29018.2543536449,8.07831892783541,95.41,NA,NA,NA,NA,NA,NA,27564.0601062928,29018.2543536449,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4214,Standard1,standard,A9,A,9,IL1R2,NA,pg/mL,28890,48,31698,31688.666666666668,2.750015748556098,31639.6666666667,31630.3333333333,28934.2383778093,29018.2543536449,8.07831892783541,100.15,NA,NA,NA,NA,NA,NA,28934.2383778093,29018.2543536449,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4215,Standard1,standard,A10,A,10,IL1R2,NA,pg/mL,28890,46,31814,31688.666666666668,2.750015748556098,31755.6666666667,31630.3333333333,29246.635768097,29018.2543536449,8.07831892783541,101.23,NA,NA,NA,NA,NA,NA,29246.635768097,29018.2543536449,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4216,Standard1,standard,A17,A,17,IL1R2,NA,pg/mL,28890,47,32990,31688.666666666668,2.750015748556098,32931.6666666667,31630.3333333333,32700.783965876,29018.2543536449,8.07831892783541,113.19,NA,NA,NA,NA,NA,NA,32700.783965876,29018.2543536449,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4217,Standard1,standard,A18,A,18,IL1R2,NA,pg/mL,28890,53,32067,31688.666666666668,2.750015748556098,32008.6666666667,31630.3333333333,29944.5196333961,29018.2543536449,8.07831892783541,103.65,NA,NA,NA,NA,NA,NA,29944.5196333961,29018.2543536449,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4231,Standard1,standard,A2,A,2,MUC16,NA,U/mL,15940,60,40245.5,41508.75,3.244456940793248,40201.5,41464.75,15213.4229490606,16010.1405819246,5.36713355665218,95.44,NA,NA,NA,NA,NA,NA,15213.4229490606,16010.1405819246,14.1529789025353,17364.6698914781,FALSE,FALSE,15.8144548044881,16010.1405819246,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
4232,Standard1,standard,A9,A,9,MUC16,NA,U/mL,15940,48,40811,41508.75,3.244456940793248,40767,41464.75,15558.2343084021,16010.1405819246,5.36713355665218,97.6,NA,NA,NA,NA,NA,NA,15558.2343084021,16010.1405819246,14.1529789025353,17364.6698914781,FALSE,FALSE,15.8144548044881,16010.1405819246,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,Extrapolated,;;;;;;,panel_1
