...1,xponent_id,sample_type,well_id,well_row,well_column,assay,dilution_factor,conc_units,bead_count,median_mfi,avg_median_mfi,pct_cv_median_mfi,net_mfi,avg_net_mfi,calc_conc,avg_conc,conc_pct_cv,pct_recovery,Control1_control_expected_concentration,Control2_control_expected_concentration,Control1_control_range_low,Control2_control_range_low,Control1_control_range_high,Control2_control_range_high,calc_conc_truncated,avg_conc_truncated,calc_conc_standards_min,calc_conc_standards_max,calc_conc_min_truncated,calc_conc_max_truncated,avg_conc_standards_min,avg_conc_standards_max,avg_conc_min_truncated,avg_conc_max_truncated,conc_pct_cv_truncated,kit_lot,instrument_serial,computer_name,run_date,file_name,xponent_comments,FN_comments,panel,standard_expected_concentration,platinum_assignment,units
3994,Ref Samp - RDS-1,sample,H17,H,17,CXCL8,2,pg/mL,46,710.5,644.875,7.720385700054813,621.916666666667,556.291666666667,26.489231881888,23.8027941939504,8.56431201203439,NA,NA,NA,NA,NA,NA,NA,26.489231881888,23.8027941939504,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
3995,Ref Samp - RDS-1,sample,H18,H,18,CXCL8,2,pg/mL,39,656,644.875,7.720385700054813,567.416666666667,556.291666666667,24.2595148451509,23.8027941939504,8.56431201203439,NA,NA,NA,NA,NA,NA,NA,24.2595148451509,23.8027941939504,2.20101841583123,2586.84834558087,FALSE,FALSE,2.33528421601749,2403.88562939985,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
3996,Ref Samp - RDS-1,sample,H7,H,7,EGF,2,pg/mL,35,766,765.75,2.8318966297357435,663.25,663,25.3852339367128,25.3758160190321,3.36912946012949,NA,NA,NA,NA,NA,NA,NA,25.3852339367128,25.3758160190321,1.91816679732662,2435.00142908072,FALSE,FALSE,2.1508174580421,2188.9396589082,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
3997,Ref Samp - RDS-1,sample,H8,H,8,EGF,2,pg/mL,35,735,765.75,2.8318966297357435,632.25,663,24.1636357861147,25.3758160190321,3.36912946012949,NA,NA,NA,NA,NA,NA,NA,24.1636357861147,25.3758160190321,1.91816679732662,2435.00142908072,FALSE,FALSE,2.1508174580421,2188.9396589082,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
3998,Ref Samp - RDS-1,sample,H17,H,17,EGF,2,pg/mL,35,781,765.75,2.8318966297357435,678.25,663,25.9771971766505,25.3758160190321,3.36912946012949,NA,NA,NA,NA,NA,NA,NA,25.9771971766505,25.3758160190321,1.91816679732662,2435.00142908072,FALSE,FALSE,2.1508174580421,2188.9396589082,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
3999,Ref Samp - RDS-1,sample,H18,H,18,EGF,2,pg/mL,38,781,765.75,2.8318966297357435,678.25,663,25.9771971766505,25.3758160190321,3.36912946012949,NA,NA,NA,NA,NA,NA,NA,25.9771971766505,25.3758160190321,1.91816679732662,2435.00142908072,FALSE,FALSE,2.1508174580421,2188.9396589082,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4000,Ref Samp - RDS-1,sample,H7,H,7,FLT3LG,2,pg/mL,56,1011.5,1079.875,9.242439404654888,959.583333333333,1027.95833333333,146.663982920187,156.187855299373,8.91898860218718,NA,NA,NA,NA,NA,NA,NA,146.663982920187,156.187855299373,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4001,Ref Samp - RDS-1,sample,H8,H,8,FLT3LG,2,pg/mL,37,978,1079.875,9.242439404654888,926.083333333333,1027.95833333333,141.950910763671,156.187855299373,8.91898860218718,NA,NA,NA,NA,NA,NA,NA,141.950910763671,156.187855299373,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4002,Ref Samp - RDS-1,sample,H17,H,17,FLT3LG,2,pg/mL,61,1152,1079.875,9.242439404654888,1100.08333333333,1027.95833333333,166.267810194109,156.187855299373,8.91898860218718,NA,NA,NA,NA,NA,NA,NA,166.267810194109,156.187855299373,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4003,Ref Samp - RDS-1,sample,H18,H,18,FLT3LG,2,pg/mL,55,1178,1079.875,9.242439404654888,1126.08333333333,1027.95833333333,169.868717319526,156.187855299373,8.91898860218718,NA,NA,NA,NA,NA,NA,NA,169.868717319526,156.187855299373,4.46357245460317,7605.7011040284,FALSE,FALSE,5.35668030250883,5774.87873637517,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4004,Ref Samp - RDS-1,sample,H7,H,7,HGF,2,pg/mL,48,10743,10678.125,0.6410524893496208,10706.9166666667,10642.0416666667,4178.80078754253,4157.36773111638,0.54406277947212,NA,NA,NA,NA,NA,NA,NA,4178.80078754253,4157.36773111638,12.9291397311209,20251.7896994828,FALSE,FALSE,20.0436748053402,19101.0619378338,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4005,Ref Samp - RDS-1,sample,H8,H,8,HGF,2,pg/mL,36,10581.5,10678.125,0.6410524893496208,10545.4166666667,10642.0416666667,4125.4384212348205,4157.36773111638,0.54406277947212,NA,NA,NA,NA,NA,NA,NA,4125.4384212348205,4157.36773111638,12.9291397311209,20251.7896994828,FALSE,FALSE,20.0436748053402,19101.0619378338,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4006,Ref Samp - RDS-1,sample,H17,H,17,HGF,2,pg/mL,45,10696,10678.125,0.6410524893496208,10659.9166666667,10642.0416666667,4163.27656384222,4157.36773111638,0.54406277947212,NA,NA,NA,NA,NA,NA,NA,4163.27656384222,4157.36773111638,12.9291397311209,20251.7896994828,FALSE,FALSE,20.0436748053402,19101.0619378338,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4007,Ref Samp - RDS-1,sample,H18,H,18,HGF,2,pg/mL,56,10692,10678.125,0.6410524893496208,10655.9166666667,10642.0416666667,4161.95515184596,4157.36773111638,0.54406277947212,NA,NA,NA,NA,NA,NA,NA,4161.95515184596,4157.36773111638,12.9291397311209,20251.7896994828,FALSE,FALSE,20.0436748053402,19101.0619378338,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4008,Ref Samp - RDS-1,sample,H7,H,7,IL1R2,2,pg/mL,51,6447,6329.75,1.3291573321674,6388.66666666667,6271.41666666667,5038.6626957823,4936.7603845362,1.48050989045598,NA,NA,NA,NA,NA,NA,NA,5038.6626957823,4936.7603845362,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4009,Ref Samp - RDS-1,sample,H8,H,8,IL1R2,2,pg/mL,50,6327,6329.75,1.3291573321674,6268.66666666667,6271.41666666667,4934.28319519868,4936.7603845362,1.48050989045598,NA,NA,NA,NA,NA,NA,NA,4934.28319519868,4936.7603845362,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4010,Ref Samp - RDS-1,sample,H17,H,17,IL1R2,2,pg/mL,48,6251,6329.75,1.3291573321674,6192.66666666667,6271.41666666667,4868.43049523539,4936.7603845362,1.48050989045598,NA,NA,NA,NA,NA,NA,NA,4868.43049523539,4936.7603845362,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
4011,Ref Samp - RDS-1,sample,H18,H,18,IL1R2,2,pg/mL,53,6294,6329.75,1.3291573321674,6235.66666666667,6271.41666666667,4905.66515192844,4936.7603845362,1.48050989045598,NA,NA,NA,NA,NA,NA,NA,4905.66515192844,4936.7603845362,24.0906038491738,32700.783965876,FALSE,FALSE,28.6273833056833,29018.2543536449,FALSE,FALSE,6.421750529919321,1655232,FM3DD21189021,FM3D-CL07,2022-03-18,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv,NA,;;;;;;,panel_1,NA,NA,NA
