assay,xponent_id,net_mfi,sample_type,standard_expected_concentration,units,bead_count,file_name
AFP,PltSet1 Std1,49516.25,standard,37004.3,pg/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,50530.75,standard,37004.3,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,48800.25,standard,37004.3,pg/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,50577.25,standard,37004.3,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,49331.25,standard,37004.3,pg/ml,51,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std1,49031.25,standard,37004.3,pg/ml,65,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,42942.9166666667,standard,6046.1,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,41674.4166666667,standard,6046.1,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,43519.9166666667,standard,6046.1,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,42378.4166666667,standard,6046.1,pg/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,43127.9166666667,standard,6046.1,pg/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std1,41766.9166666667,standard,6046.1,pg/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,49269.9166666667,standard,3339045,pg/ml,52,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,51219.4166666667,standard,3339045,pg/ml,55,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,57771.4166666667,standard,3339045,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,54494.9166666667,standard,3339045,pg/ml,56,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,54218.4166666667,standard,3339045,pg/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std1,54056.4166666667,standard,3339045,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,49844.25,standard,4.75,IU/ml,55,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,49197.75,standard,4.75,IU/ml,38,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,50155.25,standard,4.75,IU/ml,62,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,50605.25,standard,4.75,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,49209.25,standard,4.75,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std1,47906.25,standard,4.75,IU/ml,59,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,30885.0833333333,standard,32.3,IU/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,34622.0833333333,standard,32.3,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,50067.5833333333,standard,32.3,IU/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,44046.5833333333,standard,32.3,IU/ml,58,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,41428.0833333333,standard,32.3,IU/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std1,41601.0833333333,standard,32.3,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,67051.4166666667,standard,383.6,IU/ml,52,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,67051.9166666667,standard,383.6,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,71826.9166666667,standard,383.6,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,69888.9166666667,standard,383.6,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,72703.9166666667,standard,383.6,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std1,66935.9166666667,standard,383.6,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std1,21431.1666666667,standard,35638.7,pg/ml,58,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std1,21512.1666666667,standard,35638.7,pg/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std1,21673.6666666667,standard,35638.7,pg/ml,56,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std1,21754.1666666667,standard,35638.7,pg/ml,62,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std1,21512.1666666667,standard,35638.7,pg/ml,38,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std1,20808.1666666667,standard,35638.7,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std1,91620,standard,39137.7,pg/ml,38,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std1,81573.5,standard,39137.7,pg/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std1,98149,standard,39137.7,pg/ml,50,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std1,90455.5,standard,39137.7,pg/ml,37,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std1,91032,standard,39137.7,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std1,89290,standard,39137.7,pg/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std1,41044,standard,17884.2,U/ml,37,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std1,42128,standard,17884.2,U/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std1,44919,standard,17884.2,U/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std1,41390,standard,17884.2,U/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std1,43374,standard,17884.2,U/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std1,41321,standard,17884.2,U/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std1,87154.5,standard,185822,IU/ml,63,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std1,86243,standard,185822,IU/ml,50,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std1,94005.5,standard,185822,IU/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std1,89553.5,standard,185822,IU/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std1,88722.5,standard,185822,IU/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std1,87015.5,standard,185822,IU/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std2,24692.25,standard,9251.075,pg/ml,51,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std2,24531.25,standard,9251.075,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std2,25961.25,standard,9251.075,pg/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std2,25638.25,standard,9251.075,pg/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std2,25661.25,standard,9251.075,pg/ml,55,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std2,25246.25,standard,9251.075,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std2,21487.9166666667,standard,1511.525,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std2,21545.9166666667,standard,1511.525,pg/ml,52,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std2,24348.9166666667,standard,1511.525,pg/ml,58,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std2,23033.9166666667,standard,1511.525,pg/ml,36,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std2,22895.9166666667,standard,1511.525,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std2,22041.9166666667,standard,1511.525,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std2,24031.4166666667,standard,834761.25,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std2,25910.9166666667,standard,834761.25,pg/ml,56,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std2,28125.9166666667,standard,834761.25,pg/ml,50,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std2,27111.4166666667,standard,834761.25,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std2,25057.9166666667,standard,834761.25,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std2,23881.4166666667,standard,834761.25,pg/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std2,21721.25,standard,1.1875,IU/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std2,21929.25,standard,1.1875,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std2,22817.25,standard,1.1875,IU/ml,50,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std2,21952.25,standard,1.1875,IU/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std2,21790.75,standard,1.1875,IU/ml,36,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std2,21606.25,standard,1.1875,IU/ml,37,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std2,9204.08333333333,standard,8.075,IU/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std2,13393.0833333333,standard,8.075,IU/ml,55,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std2,13773.0833333333,standard,8.075,IU/ml,58,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std2,13082.0833333333,standard,8.075,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std2,10936.5833333333,standard,8.075,IU/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std2,11294.5833333333,standard,8.075,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std2,26667.4166666667,standard,95.9,IU/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std2,28616.9166666667,standard,95.9,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std2,32376.9166666667,standard,95.9,IU/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std2,28870.4166666667,standard,95.9,IU/ml,38,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std2,28155.4166666667,standard,95.9,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std2,27093.9166666667,standard,95.9,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std2,13275.1666666667,standard,8909.675,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std2,13298.6666666667,standard,8909.675,pg/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std2,13154.6666666667,standard,8909.675,pg/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std2,13575.6666666667,standard,8909.675,pg/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std2,13098.6666666667,standard,8909.675,pg/ml,42,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std2,13087.6666666667,standard,8909.675,pg/ml,50,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std2,28673.5,standard,9784.425,pg/ml,59,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std2,33656.5,standard,9784.425,pg/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std2,35940.5,standard,9784.425,pg/ml,55,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std2,34314,standard,9784.425,pg/ml,36,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std2,33702.5,standard,9784.425,pg/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std2,29550,standard,9784.425,pg/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std2,14482.5,standard,4471.05,U/ml,42,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std2,14182.5,standard,4471.05,U/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std2,14762,standard,4471.05,U/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std2,14569,standard,4471.05,U/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std2,14726.5,standard,4471.05,U/ml,38,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std2,13815,standard,4471.05,U/ml,49,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std2,34104.5,standard,46455.5,IU/ml,56,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std2,39283.5,standard,46455.5,IU/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std2,44151.5,standard,46455.5,IU/ml,69,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std2,42052.5,standard,46455.5,IU/ml,37,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std2,38741.5,standard,46455.5,IU/ml,42,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std2,36688.5,standard,46455.5,IU/ml,42,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std3,8724.25,standard,2312.76875,pg/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std3,8143.25,standard,2312.76875,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std3,8809.25,standard,2312.76875,pg/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std3,8522.25,standard,2312.76875,pg/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std3,8757.25,standard,2312.76875,pg/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std3,8562.25,standard,2312.76875,pg/ml,52,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std3,7180.91666666667,standard,377.88125,pg/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std3,5639.91666666667,standard,377.88125,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std3,7544.91666666667,standard,377.88125,pg/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std3,6812.91666666667,standard,377.88125,pg/ml,59,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std3,6275.91666666667,standard,377.88125,pg/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std3,5928.91666666667,standard,377.88125,pg/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std3,9336.41666666667,standard,208690.3125,pg/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std3,6620.91666666667,standard,208690.3125,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std3,9749.41666666667,standard,208690.3125,pg/ml,58,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std3,8883.41666666667,standard,208690.3125,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std3,8354.41666666667,standard,208690.3125,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std3,7770.91666666667,standard,208690.3125,pg/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std3,6671.25,standard,0.296875,IU/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std3,6388.25,standard,0.296875,IU/ml,38,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std3,6592.75,standard,0.296875,IU/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std3,6539.25,standard,0.296875,IU/ml,51,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std3,6637.25,standard,0.296875,IU/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
EGF,PltSet1 Std3,6217.25,standard,0.296875,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std3,3536.08333333333,standard,2.01875,IU/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std3,2171.58333333333,standard,2.01875,IU/ml,52,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std3,4128.08333333333,standard,2.01875,IU/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std3,3589.08333333333,standard,2.01875,IU/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std3,2655.58333333333,standard,2.01875,IU/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
FLT3LG,PltSet1 Std3,2793.08333333333,standard,2.01875,IU/ml,51,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std3,7023.91666666667,standard,23.975,IU/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std3,6161.91666666667,standard,23.975,IU/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std3,7493.91666666667,standard,23.975,IU/ml,50,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std3,7113.91666666667,standard,23.975,IU/ml,56,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std3,6934.91666666667,standard,23.975,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
HGF,PltSet1 Std3,6487.91666666667,standard,23.975,IU/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std3,5854.16666666667,standard,2227.41875,pg/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std3,5707.66666666667,standard,2227.41875,pg/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std3,5937.66666666667,standard,2227.41875,pg/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std3,5703.66666666667,standard,2227.41875,pg/ml,44,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std3,5696.66666666667,standard,2227.41875,pg/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL1R2,PltSet1 Std3,5758.66666666667,standard,2227.41875,pg/ml,48,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std3,7172.5,standard,2446.10625,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std3,6406.5,standard,2446.10625,pg/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std3,7972.5,standard,2446.10625,pg/ml,62,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std3,7635.5,standard,2446.10625,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std3,7028,standard,2446.10625,pg/ml,50,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
IL6,PltSet1 Std3,6625.5,standard,2446.10625,pg/ml,51,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std3,3918,standard,1117.7625,U/ml,37,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std3,3744,standard,1117.7625,U/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std3,3903,standard,1117.7625,U/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std3,3729.5,standard,1117.7625,U/ml,56,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std3,3836,standard,1117.7625,U/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
MUC16,PltSet1 Std3,3627,standard,1117.7625,U/ml,37,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std3,13445.5,standard,11613.875,IU/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std3,9269.5,standard,11613.875,IU/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std3,14640.5,standard,11613.875,IU/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std3,13226.5,standard,11613.875,IU/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std3,11126.5,standard,11613.875,IU/ml,47,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
KLK3,PltSet1 Std3,11369.5,standard,11613.875,IU/ml,61,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std4,2381.25,standard,578.1921875,pg/ml,51,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std4,2133.75,standard,578.1921875,pg/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std4,2359.25,standard,578.1921875,pg/ml,46,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std4,2198.25,standard,578.1921875,pg/ml,41,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std4,2258.25,standard,578.1921875,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
AFP,PltSet1 Std4,2198.75,standard,578.1921875,pg/ml,40,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std4,1660.41666666667,standard,94.4703125,pg/ml,54,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std4,1204.91666666667,standard,94.4703125,pg/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std4,1821.91666666667,standard,94.4703125,pg/ml,49,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std4,1384.91666666667,standard,94.4703125,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std4,1409.91666666667,standard,94.4703125,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CCL20,PltSet1 Std4,1438.91666666667,standard,94.4703125,pg/ml,53,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std4,2302.41666666667,standard,52172.578125,pg/ml,43,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std4,1851.41666666667,standard,52172.578125,pg/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std4,2454.41666666667,standard,52172.578125,pg/ml,35,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std4,1758.41666666667,standard,52172.578125,pg/ml,39,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std4,1813.41666666667,standard,52172.578125,pg/ml,45,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
CXCL8,PltSet1 Std4,2137.41666666667,standard,52172.578125,pg/ml,62,20220317_GammaLot_QC_Panel1_Plate1_20220318_134253.csv
