assay,xponent_id,avg_recovery,avg_intra_cv,outside_20,higher_cv_15,precise_quantification
AFP,Standard1,101.78564935064935,13.085248975845655,FALSE,FALSE,Yes
AFP,Standard2,100.6238961038961,4.4211883825510325,FALSE,FALSE,Yes
AFP,Standard3,99.99993506493506,4.329407151376596,FALSE,FALSE,Yes
AFP,Standard4,100.6612987012987,4.2432211001861315,FALSE,FALSE,Yes
AFP,Standard5,100.44805194805195,5.418664300703939,FALSE,FALSE,Yes
AFP,Standard6,101.34675324675325,8.369894868716878,FALSE,FALSE,Yes
CA15-3,Standard1,182.50747474747476,62.75207659726917,TRUE,TRUE,No
CA15-3,Standard2,96.23922077922077,9.360047210065952,FALSE,FALSE,Yes
CA15-3,Standard3,101.53006493506494,5.286195430083966,FALSE,FALSE,Yes
CA15-3,Standard4,99.87512987012987,5.0097103707289925,FALSE,FALSE,Yes
CA15-3,Standard5,100.81428571428572,5.338376490688483,FALSE,FALSE,Yes
CA15-3,Standard6,100.92474025974026,7.571463047111933,FALSE,FALSE,Yes
CCL20,Standard1,80.93642857142858,5.35537412832939,FALSE,FALSE,Yes
CCL20,Standard2,117.18012987012987,6.699066059586781,FALSE,FALSE,Yes
CCL20,Standard3,91.83175324675325,11.754758976800856,FALSE,FALSE,Yes
CCL20,Standard4,102.08863636363637,10.305062234153368,FALSE,FALSE,Yes
CCL20,Standard5,124.44292207792208,11.598546789193417,TRUE,FALSE,No
CCL20,Standard6,103.80428571428571,26.244178293573455,FALSE,TRUE,No
CEA,Standard1,100.22888157894737,4.052167564571826,FALSE,FALSE,Yes
CEA,Standard2,102.0975974025974,3.1744953548142343,FALSE,FALSE,Yes
CEA,Standard3,98.42961038961039,3.777668015807556,FALSE,FALSE,Yes
CEA,Standard4,98.83603896103897,4.340683154524921,FALSE,FALSE,Yes
CEA,Standard5,103.59467532467532,7.182398559876132,FALSE,FALSE,Yes
CEA,Standard6,110.985,18.730066436251256,FALSE,TRUE,No
cMET,Standard1,100.26954545454545,8.036255272209916,FALSE,FALSE,Yes
cMET,Standard2,101.19805194805195,4.20968839064683,FALSE,FALSE,Yes
cMET,Standard3,99.3487012987013,5.0523680738010945,FALSE,FALSE,Yes
cMET,Standard4,101.41668831168832,4.3010994670490454,FALSE,FALSE,Yes
cMET,Standard5,100.85194805194806,4.832978785152201,FALSE,FALSE,Yes
cMET,Standard6,100.62987012987013,9.416215815778205,FALSE,FALSE,Yes
EGF,Standard1,102.14627450980392,12.24554813462683,FALSE,FALSE,Yes
EGF,Standard2,100.43155844155844,3.2505704492128706,FALSE,FALSE,Yes
EGF,Standard3,99.6911038961039,3.4597748996792075,FALSE,FALSE,Yes
EGF,Standard4,101.09097402597402,4.197048851635927,FALSE,FALSE,Yes
EGF,Standard5,100.2477922077922,6.383703807491764,FALSE,FALSE,Yes
EGF,Standard6,103.49402597402597,13.492417426710373,FALSE,FALSE,Yes
FLT3L,Standard1,107.87281045751634,8.100799401204734,FALSE,FALSE,Yes
FLT3L,Standard2,106.75701298701298,14.244999605302489,FALSE,FALSE,Yes
FLT3L,Standard3,98.16090909090909,15.756720787268957,FALSE,TRUE,No
FLT3L,Standard4,109.86454545454545,17.391017724287444,FALSE,TRUE,No
FLT3L,Standard5,113.61487012987013,14.184699850295425,FALSE,FALSE,Yes
FLT3L,Standard6,118.2685064935065,27.875283627613566,FALSE,TRUE,No
HGF,Standard1,101.78941558441558,9.723297531508468,FALSE,FALSE,Yes
HGF,Standard2,100.63487012987014,8.00020907918261,FALSE,FALSE,Yes
HGF,Standard3,102.05272727272727,4.4374104120859785,FALSE,FALSE,Yes
HGF,Standard4,98.80428571428571,3.9981392512238547,FALSE,FALSE,Yes
HGF,Standard5,101.92064935064936,6.400343689443784,FALSE,FALSE,Yes
HGF,Standard6,107.95298701298701,20.789619074394903,FALSE,TRUE,No
IL-1 R2,Standard1,100.32064935064935,5.565417024596024,FALSE,FALSE,Yes
IL-1 R2,Standard2,100.57311688311688,3.9079123107677827,FALSE,FALSE,Yes
IL-1 R2,Standard3,99.85233766233766,5.111775185961559,FALSE,FALSE,Yes
IL-1 R2,Standard4,101.23668831168831,5.094730151200679,FALSE,FALSE,Yes
IL-1 R2,Standard5,100.52396103896103,6.947773666875178,FALSE,FALSE,Yes
IL-1 R2,Standard6,103.20590909090909,12.947087582769015,FALSE,FALSE,Yes
IL-6,Standard1,100.01691780821918,8.027092109149878,FALSE,FALSE,Yes
IL-6,Standard2,100.57188311688311,4.816902016610666,FALSE,FALSE,Yes
IL-6,Standard3,100.68493506493506,5.2667936001565625,FALSE,FALSE,Yes
IL-6,Standard4,100.16675324675325,5.1253051897983966,FALSE,FALSE,Yes
IL-6,Standard5,100.89805194805194,5.701613649691645,FALSE,FALSE,Yes
IL-6,Standard6,101.8237012987013,9.919992454960868,FALSE,FALSE,Yes
IL-6Ra,Standard1,100.29635135135135,8.620413952936836,FALSE,FALSE,Yes
IL-6Ra,Standard2,101.29863636363636,8.124672685754083,FALSE,FALSE,Yes
IL-6Ra,Standard3,102.28396103896104,9.67417664038855,FALSE,FALSE,Yes
IL-6Ra,Standard4,102.89025974025974,9.315553982064081,FALSE,FALSE,Yes
IL-6Ra,Standard5,101.1648051948052,8.262855560059567,FALSE,FALSE,Yes
IL-6Ra,Standard6,100.13822368421053,16.530653587181906,FALSE,TRUE,No
IL-8,Standard1,99.7640410958904,9.987995493350102,FALSE,FALSE,Yes
IL-8,Standard2,101.91824675324675,7.562031234857317,FALSE,FALSE,Yes
