average_mfi,lower_limit,upper_limit,assay,standard
4054.470779220779,3159.55766705068,4949.3838913908785,CEA,Standard3
6771.613636363636,2756.14534083169,10787.081931895582,IL-6Ra,Standard3
4402.853896103896,1320.6533437587545,7485.0544484490365,MIF,Standard3
4434.441558441558,3152.971261494464,5715.911855388653,THBS2,Standard3
3726.6493506493507,1087.0406496908595,6366.2580516078415,TNC,Standard3
11155.152597402597,8594.986033946818,13715.319160858377,WFDC2,Standard3
11163.40909090909,8173.7108056496345,14153.107376168546,cMET,Standard3
4070.5064935064934,2798.6657845776954,5342.347202435291,uPAR,Standard3
2699.525974025974,1867.6297735974008,3531.422174454547,AFP,Standard4
3866.5746753246754,2567.0142441291305,5166.13510652022,CA15-3,Standard4
722.9383116883117,395.5427910281531,1050.3338323484704,CCL20,Standard4
2206.0974025974024,1597.4524886986042,2814.7423164962006,EGF,Standard4
838.3993506493506,418.12453699665826,1258.674164302043,FLT3L,Standard4
932.275974025974,672.3552703777625,1192.1966776741856,HGF,Standard4
1028.5324675324675,751.2738403933197,1305.7910946716154,IL-1 R2,Standard4
1449.2142857142858,1094.2568839307748,1804.1716874977967,IL-6,Standard4
1834.9707792207791,1144.5142822183284,2525.42727622323,IL-8,Standard4
4074.0487012987014,2031.8245591734135,6116.272843423989,KLK3,Standard4
958.5162337662338,663.034182284183,1253.9982852482844,MUC-16,Standard4
732.8116883116883,381.6321118921197,1083.9912647312567,OPN,Standard4
1038.7305194805194,795.4815463797823,1281.9794925812564,CEA,Standard4
1743.7435064935064,802.5499628445067,2684.937050142506,IL-6Ra,Standard4
1010.0292207792207,361.6262670968606,1658.4321744615809,MIF,Standard4
1154.1103896103896,780.5692712037671,1527.651508017012,THBS2,Standard4
781.9707792207793,345.66755488901975,1218.2740035525387,TNC,Standard4
1727.607142857143,1241.2736634886223,2213.9406222256634,WFDC2,Standard4
3220.0487012987014,2271.6648512645224,4168.43255133288,cMET,Standard4
1013.9350649350649,644.9479929176229,1382.9221369525071,uPAR,Standard4
